"OBJECTID","Eradication ID","Common Name","Scientific Name","Type (Animal)","Year of Introduction","Data Quality","Eradication Start Date","Eradication End Date","Status (Eradication)","Type (Eradication)","Primary Eradication Method","Secondary Eradication Method","Tertiary Eradication Method","Primary Baiting Method","Secondary Baiting Method","Primary Toxicant","Secondary Toxicant","Contact Name","Contact Organization","Organization_Website","Island Code","Island Name","Region","Country","Archipelago","Latitude","Longitude","Area (sq km)","Human Population"
"673","871","House Mouse","Mus musculus","Rodent","1980","Good","1983","1984","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Bromadiolone","NA","Broome; Keith","NZ Dept. of Conservation","null","27037","Whenuakura (Whangamata)","Pacific Ocean - South West","New Zealand","Whitianga Islands","-37.2198753801","175.89603862","0.0435155785631","None"
"674","872","Brown / Norway Rat","Rattus norvegicus","Rodent","1982","Satisfactory","1983","1984","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Bromadiolone","NA","McFadden; I","NZ Dept. of Conservation","null","27037","Whenuakura (Whangamata)","Pacific Ocean - South West","New Zealand","Whitianga Islands","-37.2198753801","175.89603862","0.0435155785631","None"
"676","876","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2009","2009","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","Hand Broadcast","Diphacinone","Brodifacoum","null","null","null","352141","Cocos","Pacific Ocean - North West","Guam","Mariana Islands","13.2379128339","144.65151321","0.311482057459","None"
"677","878","Black Rat","Rattus rattus","Rodent","1860","Good","1991","1991","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","332342","Middle","Indian Ocean - East","Australia","Western Australia (Barrow Islands)","-20.9121099281","115.32773011","3.53142610205","None"
"678","879","Black Rat","Rattus rattus","Rodent","1860","Good","1985","1985","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","331150","Boodie","Indian Ocean - East","Australia","Western Australia (Barrow Islands)","-20.9618231843","115.32739614","1.98279374861","None"
"679","881","Black Rat","Rattus rattus","Rodent","1860","Good","1983","1985","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","331919","Boomerang","Indian Ocean - East","Australia","Western Australia (Barrow Islands)","-20.7346991796","115.48089205","0.0702668780842","None"
"680","883","Black Rat","Rattus rattus","Rodent","1860","Good","1985","1985","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","NA","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","332387","Pasco","Indian Ocean - East","Australia","Western Australia (Barrow Islands)","-20.9604037947","115.34021835","0.0272183949759","None"
"681","885","Polynesian Rat","Rattus exulans","Rodent","null","Good","1990","1990","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","McFadden; I","NZ Dept. of Conservation","null","31015","Flax (Hokoromea)","Pacific Ocean - South West","New Zealand","Mokohinau Islands","-35.9115152208","175.103916399","0.114242019052","None"
"682","886","House Mouse","Mus musculus","Rodent","1980","Poor","1993","1994","Failed","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Thompson; P.","null","null","27039","Hauturu (Clark)","Pacific Ocean - South West","New Zealand","Whangamata","-37.2143341371","175.89114392","0.126100862499","None"
"684","3171","Brown / Norway Rat","Rattus norvegicus","Rodent","1800","Good","1986","1986","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","30641","Hawea","Pacific Ocean - South West","New Zealand","Breaksea Sound","-45.5912947791","166.643543572","0.0986956612376","None"
"685","888","Brown / Norway Rat","Rattus norvegicus","Rodent","1850","Good","1996","1996","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Empson; R.","null","null","26744","Kapiti","Pacific Ocean - South West","New Zealand","Kapiti Islands","-40.8567427369","174.91134278","18.4396491371","1 - 10"
"686","889","Polynesian Rat","Rattus exulans","Rodent","null","Good","1996","1996","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Empson; R.","null","null","26744","Kapiti","Pacific Ocean - South West","New Zealand","Kapiti Islands","-40.8567427369","174.91134278","18.4396491371","1 - 10"
"687","890","Black Rat","Rattus rattus","Rodent","null","Satisfactory","null","2001","Failed","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","354623","Palmyra","Pacific Ocean - North East","United States Minor Outlying Islands","Line Islands","5.88394463227","-162.077788274","2.56693877602","11 - 100"
"688","891","Polynesian Rat","Rattus exulans","Rodent","null","Good","1992","1993","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","McFadden; I","NZ Dept. of Conservation","null","26839","Red Mercury (Whakau)","Pacific Ocean - South West","New Zealand","Mercury Islands","-36.6241452647","175.93527062","2.39783333662","None"
"689","893","Polynesian Rat","Rattus exulans","Rodent","1900","Good","1991","1992","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","McFadden; I","NZ Dept. of Conservation","null","26835","Stanley (Kawhitu)","Pacific Ocean - South West","New Zealand","Mercury Islands","-36.6403480125","175.88632236","1.0483176461","None"
"690","896","Black Rat","Rattus rattus","Rodent","null","Good","1982","1983","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","27005","Tawhitinui (Oaie)","Pacific Ocean - South West","New Zealand","Marlborough Sound","-41.0494595728","173.80057385","0.20550881515","None"
"691","897","Polynesian Rat","Rattus exulans","Rodent","1900","Good","1983","1984","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Bromadiolone","1080","Owen; K.","NZ Dept. of Conservation","null","30643","Rurima","Pacific Ocean - South West","New Zealand","Bay of Plenty","-37.8310702265","176.87274009","0.207436253935","None"
"692","899","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2003","2003","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","464183","Sangalaki","Nusantarian Sea","Indonesia","Derawan Islands","2.08554486191","118.399687939","0.18110676212","Unknown"
"693","900","House Mouse","Mus musculus","Rodent","null","Good","2007","2007","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Priddel; David","NSW Department of Environment Climate Change and Water","null","21576","Montague","Pacific Ocean - South West","Australia","New South Wales","-36.2512223608","150.22677756","0.838082160889","None"
"694","901","Black Rat","Rattus rattus","Rodent","1960","Good","2009","2009","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Priddel; David","NSW Department of Environment Climate Change and Water","null","25126","Little Broughton","Pacific Ocean - South West","Australia","Myall Coast Islands","-32.6210847617","152.3336639","0.275940144493","None"
"695","902","Black Rat","Rattus rattus","Rodent","1960","Good","2009","2009","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Priddel; David","NSW Department of Environment Climate Change and Water","null","25123","Looking Glas (South Rock)","Pacific Ocean - South West","Australia","Myall Coast Islands","-32.6293034841","152.31704641","0.0401848267377","None"
"696","903","Black Rat","Rattus rattus","Rodent","1960","Good","2009","2011","Successful","Whole Island","Toxicant","Toxicant","Toxicant","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Priddel; David","NSW Department of Environment Climate Change and Water","null","25214","Broughton","Pacific Ocean - South West","Australia","Myall Coast Islands","-32.616899425","152.31634731","1.4787504521","None"
"699","906","Black Rat","Rattus rattus","Rodent","1932","Good","2005","2005","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Priddel; David","NSW Department of Environment Climate Change and Water","null","21697","Brush","Pacific Ocean - South West","Australia","New South Wales","-35.5291421303","150.41688168","0.410562031017","None"
"703","911","Black Rat","Rattus rattus","Rodent","null","Good","1993","1995","Successful","Whole Island","Toxicant","NA","Toxicant","Bait Station","NA","Bromadiolone","Brodifacoum","Meek; Paul","NSW Department of Environment; Climate Change and Water","null","22254","Bowen","Pacific Ocean - South West","Australia","New South Wales","-35.1183339907","150.76871065","0.675909646308","None"
"704","913","Black Rat","Rattus rattus","Rodent","2003","Good","2006","2007","Successful","Whole Island","Trapping","NA","NA","NA","NA","NA","NA","null","null","null","464201","Feno Islet (Mina)","Atlantic Ocean - North","Portugal","Azores Islands (Central Group)","38.6491903216","-27.0736888753","0.020425954803","None"
"706","921","House Mouse","Mus musculus","Rodent","null","Good","2008","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Torr; N.","NZ Dept. of Conservation","null","23976","Coal","Pacific Ocean - South West","New Zealand","Preservation Inlet","-46.1160632379","166.6285454","11.7318151326","None"
"709","925","Polynesian Rat","Rattus exulans","Rodent","null","Good","2007","2008","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Diphacinone","NA","Swenson; Chris","Hawaii Department of Land and Natural Resources","null","400114","Mokapu","Pacific Ocean - North East","United States","Hawaiian Islands","21.1833719163","-156.923787113","0.0336810430295","None"
"710","926","Polynesian Rat","Rattus exulans","Rodent","null","Poor","2007","2008","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Diphacinone","NA","Swenson; Chris","Hawaii Department of Land and Natural Resources","null","464157","Alau","Pacific Ocean - North East","United States","Hawaiian Islands","20.7284665438","-155.977352122","0.0255682784431","None"
"711","928","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2005","2006","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Diphacinone","Bromadiolone","null","null","null","251593","Canna","Atlantic Ocean - North","United Kingdom","Scotland Islands (Inner Hebrides)","57.0567303839","-6.55100045","12.9485197855","11 - 100"
"729","2805","Black Rat","Rattus rattus","Rodent","null","Poor","null","null","Successful","Whole Island","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Phillips RB","null","null","362232","Bainbridge - 4","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.35929892336","-90.5643099782","0.047387161533","None"
"730","2806","Black Rat","Rattus rattus","Rodent","null","Good","2011","2012","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","NA","Diphacinone","NA","null","null","null","110000228","Moku'auia (Goat Island)","Pacific Ocean - North East","United States","Hawaiian Islands","21.6628109473","-157.922743474","0.053528030475","None"
"744","966","House Mouse","Mus musculus","Rodent","1800","Good","1997","1997","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Dervaux; Antoine","Department of Conservation of Natural Heritage  French Southern and Antarctic Lands","null","457862","Saint-Paul","Indian Ocean - West","French Southern Territories","Amsterdam and St. Paul Islands","-38.7221215556","77.5235234337","8.57109892594","None"
"756","980","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","1989","1990","Successful","Whole Island","Toxicant","Trapping","NA","Bait Station","Other","Bromadiolone","NA","Beauchamp; Tony","DOC Northland","null","30691","Motuopao","Pacific Ocean - South West","New Zealand","Te Paki Islands","-34.4704751152","172.637640929","0.28906140288","None"
"804","1040","Nutria","Myocastor coypus","Rodent","1920","Good","1981","1989","Successful","Restricted Range","Trapping","NA","NA","NA","NA","NA","NA","Gosling; L.M.","null","null","458490","Great Britain","Atlantic Ocean - North","United Kingdom","null","53.9437249713","-2.52234432","218739.986909","> 10000"
"805","1042","Black Rat","Rattus rattus","Rodent","null","Good","2007","2008","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Shaw; Viv","Pomona Island Charitable Trus","null","463848","Pomona","Pacific Ocean - South West","New Zealand","Lake Manapouri","-45.5067492254","167.47360565","2.48539289158","None"
"806","2807","Black Rat","Rattus rattus","Rodent","null","Good","2004","2004","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Carrion; Victor","Galapagos National Park Service","null","362274","Marielas Este","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.594654923332","-91.0903635453","0.00147374472054","None"
"807","2808","Black Rat","Rattus rattus","Rodent","2005","Satisfactory","null","2005","Successful","Incursion Response","Toxicant","NA","NA","Unknown","Unknown","Unknown","Unknown","Sposimo; Paolo","null","null","240134","La Scola","Mediterranean","Italy","Tuscan Islands","42.5837916305","10.1062938","0.0151126691745","None"
"808","1043","Black Rat","Rattus rattus","Rodent","1961","Poor","1988","1990","Successful","Whole Island","Toxicant","NA","NA","Unknown","NA","Unknown","NA","McFadden; I","NZ Dept. of Conservation","null","27004","Mokopuna (Leper)","Pacific Ocean - South West","New Zealand","Wellington Harbour","-41.2514014672","174.86494519","0.00946553604866","None"
"809","1044","Black Rat","Rattus rattus","Rodent","null","Satisfactory","null","1983","Successful (Reinvaded)","Whole Island","Toxicant","Trapping","NA","Bait Station","NA","Brodifacoum","NA","Brown; Derek & Kerry","NZ Dept. of Conservation; Falkland Conservation","null","463841","Duffer's Reef","Pacific Ocean - South West","New Zealand","Marlborough Sound","-40.9543724352","174.040984499","0.0180519867854","None"
"810","1045","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2004","2004","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","88888077","Patiti (Banded)","Pacific Ocean - South West","New Zealand","Lake Rotomahana","-38.2676728506","176.445923119","0.127936050253","None"
"811","1046","Black Rat","Rattus rattus","Rodent","null","Satisfactory","1990","1990","Failed","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Flocoumafen","NA","Taylor; G.","null","null","30784","Moturako","Pacific Ocean - South West","New Zealand","Great Barrier Islands","-36.1795723285","175.29727027","0.00857927740727","None"
"812","1047","Black Rat","Rattus rattus","Rodent","null","Satisfactory","null","1983","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","NA","Broome; Keith","NZ Dept. of Conservation","null","463170","Prince","Indian Ocean - East","Australia","Western Australia (Barrow Islands)","-20.7266269454","115.47670753","0.00146228555227","None"
"813","1048","Black Rat","Rattus rattus","Rodent","1904","Good","1997","1997","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Kloiber; Ulli","Chumbe Island Coral Park (CHICOP)","www.chumbeisland.com","14433","Chumbe","Indian Ocean - West","Tanzania United Republic of","Zanzibar Islands","-6.27839650145","39.1775159","0.176406130541","Unknown"
"814","1049","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2000","2000","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Daltry; Jenny","Flora and Fauna International","null","389594","Praslin","Caribbean","Saint Lucia","Lesser Antilles (St. Lucia Islands)","13.875213853","-60.88956899","0.00945948289384","None"
"815","1050","Black Rat","Rattus rattus","Rodent","null","Satisfactory","1993","1993","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Varnham; Karen","Antiguan Racer Conservation Project; Island Resources Foundation","www.irf.org","389594","Praslin","Caribbean","Saint Lucia","Lesser Antilles (St. Lucia Islands)","13.875213853","-60.88956899","0.00945948289384","None"
"816","1051","Black Rat","Rattus rattus","Rodent","null","Good","2002","2002","Successful","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","395260","Burgaux","Caribbean","Martinique","Lesser Antilles (îlets de Sainte-Anne)","14.4125326301","-60.8323028704","0.00609924293715","None"
"817","1052","Black Rat","Rattus rattus","Rodent","1650","Good","1999","1999","Successful (Reinvaded)","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","395259","Percé","Caribbean","Martinique","Lesser Antilles (îlets de Sainte-Anne)","14.4131951047","-60.83353762","0.00455423080829","None"
"818","1053","Black Rat","Rattus rattus","Rodent","null","Good","1998","1998","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Varnham; Karen","Antiguan Racer Conservation Project; Island Resources Foundation","www.irf.org","386060","Lobster","Caribbean","Antigua and Barbuda","Lesser Antilles (Antigua and Barbuda Islands)","17.1337505354","-61.72978234","0.00369597677977","None"
"819","1054","Black Rat","Rattus rattus","Rodent","null","Good","1998","1998","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Varnham; Karen","Antiguan Racer Conservation Project; Island Resources Foundation","www.irf.org","386061","Rabbit","Caribbean","Antigua and Barbuda","Lesser Antilles (Antigua and Barbuda Islands)","17.1359219952","-61.73112685","0.0225306722426","None"
"820","1055","Black Rat","Rattus rattus","Rodent","null","Good","1998","1998","Successful","Whole Island","Toxicant","NA","NA","Bait Station","Hand Broadcast","Brodifacoum","NA","Varnham; Karen","Antiguan Racer Conservation Project; Island Resources Foundation","www.irf.org","386059","Redhead","Caribbean","Antigua and Barbuda","Lesser Antilles (Antigua and Barbuda Islands)","17.1379034938","-61.72833704","0.00868381459769","None"
"821","1056","Black Rat","Rattus rattus","Rodent","null","Good","2001","2002","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Island Conservation","Island Conservation","www.islandconservation.org","39759","Anacapa Middle","Pacific Ocean - North East","United States","Channel Islands","34.005810623","-119.39318635","0.633290800781","None"
"822","1058","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2006","2006","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","110000602","Kastronisia - 1","Mediterranean","Greece","Sporades Islands","39.2116724197","23.4618134533","0.00803657636205","None"
"823","1059","Black Rat","Rattus rattus","Rodent","null","Poor","null","2001","Incomplete","Whole Island","Toxicant","Trapping","NA","Hand Broadcast","NA","Bromadiolone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","88888125","Folachedda","Mediterranean","France","Corsican Islands (Cerbicale Islands)","41.5505413429","9.31589","0.00218094967393","None"
"839","1086","House Mouse","Mus musculus","Rodent","null","Good","2007","2007","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Shaw; Viv","Pomona Island Charitable Trus","null","463848","Pomona","Pacific Ocean - South West","New Zealand","Lake Manapouri","-45.5067492254","167.47360565","2.48539289158","None"
"840","1088","House Mouse","Mus musculus","Rodent","null","Good","2007","2007","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Shaw; Viv","Pomona Island Charitable Trus","null","463847","Rona","Pacific Ocean - South West","New Zealand","Lake Manapouri","-45.4936158071","167.54092983","0.603371359409","None"
"841","1092","House Mouse","Mus musculus","Rodent","1995","Satisfactory","1996","1996","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","McKinlay; B.","null","null","463852","Mou Waho","Pacific Ocean - South West","New Zealand","Lake Wanaka","-44.5537928719","169.08239104","1.50839435241","None"
"842","1094","House Mouse","Mus musculus","Rodent","null","Satisfactory","2004","2004","Failed","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","88888077","Patiti (Banded)","Pacific Ocean - South West","New Zealand","Lake Rotomahana","-38.2676728506","176.445923119","0.127936050253","None"
"843","1095","House Mouse","Mus musculus","Rodent","1965","Poor","1996","1996","Failed","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","McFadden; Wilke","NZ Dept. of Conservation","null","463845","Mokoia","Pacific Ocean - South West","New Zealand","Lake Rotorua","-38.07997516","176.28768891","1.3283724364","None"
"844","1096","House Mouse","Mus musculus","Rodent","1965","Good","2001","2001","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Hand Broadcast","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","463845","Mokoia","Pacific Ocean - South West","New Zealand","Lake Rotorua","-38.07997516","176.28768891","1.3283724364","None"
"845","1097","House Mouse","Mus musculus","Rodent","1993","Good","1997","1997","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Pindone","Brodifacoum","Burbidge; A.A.","Department of Conservation and Land Management; Aus","null","464119","Beacon","Indian Ocean - East","Australia","Western Australia (Lowendal Islands)","-20.6340543738","115.56926118","0.0550467171732","None"
"847","1103","Brown / Norway Rat","Rattus norvegicus","Rodent","1850","Satisfactory","1996","1996","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Veitch; C.R.","NZ Dept. of Conservation","null","30744","Motungara (Motungarara)","Pacific Ocean - South West","New Zealand","Kapiti Islands","-40.8869920941","174.90069158","0.0175057827511","None"
"848","1104","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2004","2004","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","88888077","Patiti (Banded)","Pacific Ocean - South West","New Zealand","Lake Rotomahana","-38.2676728506","176.445923119","0.127936050253","None"
"849","1105","Brown / Norway Rat","Rattus norvegicus","Rodent","1839","Satisfactory","1989","1990","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","Flocoumafen","Jansen; P.","NZ Dept. of Conservation","null","463845","Mokoia","Pacific Ocean - South West","New Zealand","Lake Rotorua","-38.07997516","176.28768891","1.3283724364","None"
"850","1106","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2009","2009","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Diphacinone","NA","Poncet; S.","Falklands Conservation","null","389353","Amy (Outer Knob)","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (The Knobs)","-51.8053711939","-58.14083846","0.068908910046","None"
"851","1108","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2002","2002","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Poncet; S.","Falklands Conservation","null","389316","Cucumber","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (Beaver Island Group)","-51.8318035332","-61.20488021","0.0255756721873","None"
"852","1109","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2003","2003","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Poncet; S.","Falklands Conservation","null","388861","Ella's","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (North East Island Group)","-52.0080990154","-58.38011549","0.0489828286915","None"
"853","1110","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2003","2003","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Poncet; S.","Falklands Conservation","null","389348","Hutchy's","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (North East Island Group)","-52.0079323458","-58.38867596","0.225719939806","None"
"854","1111","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2007","2007","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Diphacinone","NA","Poncet; S.","Falklands Conservation","null","389323","Letterbox","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (Weddell Islands)","-51.8248209481","-61.14881485","0.0252581209273","None"
"855","1112","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2002","2002","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Poncet; S.","Falklands Conservation","null","389335","Rookery","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (Beaver Island Group)","-51.8373788069","-61.21512997","0.251802955483","None"
"856","1113","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2007","2007","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Diphacinone","NA","Poncet; S.","Falklands Conservation","null","389322","Stick-in-the-mud","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (Weddell Island Group)","-51.8479760321","-61.16700055","0.016256319577","None"
"857","1114","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Satisfactory","2006","2006","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","110000602","Kastronisia - 1","Mediterranean","Greece","Sporades Islands","39.2116724197","23.4618134533","0.00803657636205","None"
"858","1115","Brown / Norway Rat","Rattus norvegicus","Rodent","1700","Good","null","2000","Failed","Whole Island","Trapping","Toxicant","NA","Bait Station","NA","Chlorophacinone","NA","Lorvelec; O.","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","241532","Saint-Riom (6 islets)","Atlantic Ocean - North","France","Saint-Riom Islands","48.8051788166","-2.9836496","0.00415973090987","None"
"859","1117","Polynesian Rat","Rattus exulans","Rodent","null","Good","1990","1991","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","McFadden; I","NZ Dept. of Conservation","null","463840","Arch","Pacific Ocean - South West","New Zealand","Mokohinau Islands","-35.910473435","175.10168805","0.00878156097079","None"
"860","3172","Polynesian Rat","Rattus exulans","Rodent","null","Satisfactory","2018","2018","To Be Confirmed","Whole Island","Toxicant","NA","Hunting ","Bait Station","NA","Unknown","Unknown","null","null","null","351944","Motu Kena","Pacific Ocean - South East","Cook Islands","Cook Islands (Suwarrow Atoll)","-13.2780314773","-163.19283363","0.0164909969562","None"
"861","1118","Polynesian Rat","Rattus exulans","Rodent","1977","Satisfactory","1978","1978","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Bromadiolone","NA","Veitch; C.R.","NZ Dept. of Conservation","null","31014","Lizard","Pacific Ocean - South West","New Zealand","Mokohinau Islands","-35.9093312861","175.11356277","0.0291702371572","None"
"862","1119","Black Rat","Rattus rattus","Rodent","null","Satisfactory","1998","1998","Successful","Whole Island","Toxicant","NA","NA","Bait Piles","NA","Brodifacoum","NA","Pascal; Michel","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","334536","Mato","Pacific Ocean - South West","New Caledonia","New Caledonia Islands","-22.5501507369","166.79213639","0.043470892798","None"
"863","1120","Polynesian Rat","Rattus exulans","Rodent","null","Good","1998","1998","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Pascal; Michel","Equipe Gestion des Populations Invasives; INRA; Station SCRIBE; Campus de Beaulieu","null","338997","Laregnere","Pacific Ocean - South West","New Caledonia","New Caledonia Islands","-22.3270422853","166.31980772","0.0186889191149","None"
"864","1121","Polynesian Rat","Rattus exulans","Rodent","null","Good","2008","2008","Successful","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Brodifacoum","NA","Seniloli; Elenoa","BirdLife International - Fiji Programme","null","336160","Mabualau","Pacific Ocean - South West","Fiji","Viti Levu Group","-17.9724732668","178.75636238","0.051770686547","None"
"882","1140","Black Rat","Rattus rattus","Rodent","1800","Satisfactory","2004","2004","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","NA","Brodifacoum","NA","Dervaux; Antoine","Department of Conservation of Natural Heritage  French Southern and Antarctic Lands","null","15109","Australia","Indian Ocean - West","French Southern Territories","Kerguelen Islands (Golfe du Morbihan)","-49.4538311534","69.85042007","19.4748429755","None"
